conc0,conc1,conc2,ci
0.3333,0.3025,0.3333,-0.24362
0.43367,0.3025,0.3333,-0.05
0.23299,0.302493,0.3333,-0.12206
0.3333,0.4134,0.3333,0.038
0.3333,0.1809,0.3333,-0.21635
0.3333,0.3025,0.4923,0.23
0.3333,0.3025,0.159,-0.085
0.281699,0.266478,0.34713,0.036
0.56632,0.56529,0.214484,0.081
0.38204,0.346745,0.382042,0.022
0.0,0.0699,0.7808,0.395
0.9758520722389221,0.8926717042922974,0.3988227844238281,
0.735071063041687,0.7281887531280518,0.9877855181694031,
0.8547330191112636,0.48466048777366194,9.372334372546344e-05,
0.11119747906923294,0.997934103012085,0.08764274418354034,
0.3107731342315674,0.32668963074684143,0.2918103337287903,
0.6260041875288889,0.5975046421868434,0.6333481326184355,
0.1732943207025528,0.9484533071517944,0.8980305194854736,
0.8068347573280334,0.8191023468971252,0.7175977826118469,
0.35985127091407776,0.33475348353385925,0.3140795826911926,
0.6762676824189278,0.6490149768919673,0.5683030186424636,
0.5120930671691895,0.1274886578321457,0.8543850779533386,
0.04270923167918494,0.0026907527343303416,0.18827223331823453,
